"Country,Other"        ,TotalCases    ,NewCases   ,TotalDeaths ,NewDeaths ,TotalRecovered ,NewRecovered ,ActiveCases  ,"Serious,Critical" ,Tot Cases/1M pop ,Deaths/1M pop ,TotalTests    ,Tests/1M pop ,Population
Bolivia                ,"466,318"     ,+967       ,"17,576 "   ,+30       ,"396,914"      ,"+1,561"     ,"51,828"     ,200                ,"39,382"         ,"1,484"       ,"2,010,216"   ,"169,771"    ,"11,840,755 "
Paraguay               ,"447,864"     ,           ,"14,501 "   ,          ,"408,973"      ,             ,"24,390"     ,423                ,"61,989"         ,"2,007"       ,"1,644,783"   ,"227,656"    ,"7,224,860 "
Belarus                ,"438,767"     ,"+1,103"   ,"3,376 "    ,+11       ,"432,655"      ,"+1,166"     ,"2,736"      ,                   ,"46,450"         ,357           ,"7,168,204"   ,"758,858"    ,"9,446,039 "
Panama                 ,"426,849"     ,           ,"6,730 "    ,          ,"407,055"      ,             ,"13,064"     ,133                ,"97,315"         ,"1,534"       ,"3,268,714"   ,"745,213"    ,"4,386,282 "
Bulgaria               ,"423,440"     ,           ,"18,189 "   ,          ,"397,900"      ,             ,"7,351"      ,81                 ,"61,429"         ,"2,639"       ,"3,485,391"   ,"505,633"    ,"6,893,120 "
Georgia                ,"398,081"     ,"+2,460"   ,"5,656 "    ,+20       ,"370,565"      ,"+1,082"     ,"21,860"     ,                   ,"99,993"         ,"1,421"       ,"6,481,930"   ,"1,628,186"  ,"3,981,075 "
Costa Rica             ,"397,469"     ,           ,"4,933 "    ,          ,"321,048"      ,             ,"71,488"     ,363                ,"77,281"         ,959           ,"1,686,460"   ,"327,903"    ,"5,143,170 "
Slovakia               ,"392,259"     ,+40        ,"12,534 "   ,          ,"379,318"      ,+39          ,407          ,9                  ,"71,810"         ,"2,295"       ,"3,087,364"   ,"565,199"    ,"5,462,435 "
Kuwait                 ,"389,868"     ,           ,"2,264 "    ,          ,"372,358"      ,             ,"15,246"     ,316                ,"89,892"         ,522           ,"3,289,685"   ,"758,502"    ,"4,337,084 "
Uruguay                ,"379,911"     ,           ,"5,913 "    ,          ,"370,711"      ,             ,"3,287"      ,89                 ,"108,968"        ,"1,696"       ,"2,990,908"   ,"857,869"    ,"3,486,439 "
Croatia                ,"362,305"     ,+176       ,"8,245 "    ,          ,"353,103"      ,+137         ,957          ,17                 ,"88,833"         ,"2,022"       ,"2,236,369"   ,"548,332"    ,"4,078,496 "
Guatemala              ,"344,221"     ,           ,"10,029 "   ,          ,"299,752"      ,             ,"34,440"     ,5                  ,"18,847"         ,549           ,"1,768,248"   ,"96,815"     ,"18,264,267 "
Azerbaijan             ,"339,274"     ,           ,"4,999 "    ,          ,"331,629"      ,             ,"2,646"      ,                   ,"33,147"         ,488           ,"3,943,568"   ,"385,282"    ,"10,235,548 "
Dominican Republic     ,"338,902"     ,           ,"3,931 "    ,          ,"287,607"      ,             ,"47,364"     ,246                ,"30,914"         ,359           ,"1,808,633"   ,"164,982"    ,"10,962,598 "
Palestine              ,"315,876"     ,           ,"3,591 "    ,          ,"310,961"      ,             ,"1,324"      ,11                 ,"60,443"         ,687           ,"1,959,271"   ,"374,905"    ,"5,226,043 "
Denmark                ,"310,127"     ,+707       ,"2,542 "    ,          ,"295,717"      ,+541         ,"11,868"     ,11                 ,"53,344"         ,437           ,"74,666,200"  ,"12,843,069" ,"5,813,735 "
Cuba                   ,"308,599"     ,           ,"2,137 "    ,          ,"270,757"      ,             ,"35,705"     ,322                ,"27,263"         ,189           ,"6,048,002"   ,"534,308"    ,"11,319,312 "
Venezuela              ,"296,863"     ,           ,"3,443 "    ,          ,"280,269"      ,             ,"13,151"     ,424                ,"10,471"         ,121           ,"3,359,014"   ,"118,480"    ,"28,350,786 "
Sri Lanka              ,"291,298"     ,           ,"3,959 "    ,          ,"264,755"      ,             ,"22,584"     ,                   ,"13,544"         ,184           ,"4,217,630"   ,"196,096"    ,"21,508,020 "
Ireland                ,"289,139"     ,           ,"5,026 "    ,          ,"264,469"      ,             ,"19,644"     ,23                 ,"57,875"         ,"1,006"       ,"4,729,538"   ,"946,680"    ,"4,995,922 "
Oman                   ,"289,042"     ,           ,"3,498 "    ,          ,"263,752"      ,             ,"21,792"     ,444                ,"55,129"         ,667           ,"1,550,000"   ,"295,630"    ,"5,243,040 "
Honduras               ,"285,375"     ,"+1,188"   ,"7,558 "    ,+23       ,"97,200"       ,+361         ,"180,617"    ,677                ,"28,338"         ,751           ,"855,408"     ,"84,942"     ,"10,070,461 "
Egypt                  ,"283,906"     ,           ,"16,470 "   ,          ,"226,535"      ,             ,"40,901"     ,90                 ,"2,720"          ,158           ,"3,068,679"   ,"29,403"     ,"104,365,057 "
